Name,Score,Age,Subject,Sex,ID
DWAYNE CURRY,45.0,21,Maths,F,140
EDGAR CALLEJAS,82.0,18,Maths,M,141
EDGAR GONZALEZ,95.0,20,Maths,M,142
EDMUND DEA,85.0,18,Maths,M,143
EDMUND VAIL,66.0,18,Maths,M,144
EDUARDO GONZALEZ,88.0,21,Maths,F,145
EDWARD CAMPBELL,82.0,20,Maths,M,146
EDWARD CHEUNG,53.0,18,Maths,M,147
EDWARD CHU,88.0,19,Maths,M,148
EDWARD DELCARLO,45.0,18,Maths,M,149
EDWARD DENNIS,65.0,21,Maths,F,150
EDWARD HARRINGTON,95.0,18,Maths,M,151
EDWARD REISKIN,31.0,18,Maths,M,152
EDWARD ROLAND,66.0,18,Maths,M,153
EDWIN LEE,45.0,19,Maths,M,154
EHRHARDT GROOTHOFF,53.0,18,Maths,F,155
ELAINE COLEMAN,45.0,19,Maths,M,156
ELISA RAMIREZ,53.0,18,Maths,M,157
ELIZABETH JOHNSON,91.0,18,Maths,M,158
ELLEN APOLINARIO,85.0,19,Maths,M,159
ELLEN LEVIN,53.0,18,Maths,F,160
ELLEN MOFFATT,88.0,18,Maths,M,161
ERIBERTO ISON,88.0,18,Maths,M,162
ERIC CRANSTON,82.0,18,Maths,M,163
ERIKA HOO,85.0,19,Maths,M,164
ERNEST JOHNSON,45.0,18,Maths,F,165
EUGENE GALEANO,82.0,20,Maths,M,166
EVETTE GEER-STEVENS,91.0,18,Maths,M,167
FE HORTINELA,65.0,19,Maths,M,168
FERDINAND CADELINA,65.0,19,Maths,M,169
FERDINAND MENESES,75.0,18,Maths,F,170
FERNANDO DEALBA,88.0,18,Maths,M,171
FLAVIA BAYATI,65.0,18,Maths,M,172
FLOYD ROLLINS,53.0,20,Maths,M,173
FRANK CARDINALE,88.0,19,Maths,M,174
FRANK HSIEH,45.0,19,Maths,F,175
FRANK KOSTA,95.0,18,Maths,M,176
FREDERICK BINKLEY,75.0,18,Maths,M,177
FUAD SWEISS,53.0,20,Maths,M,178
GARRET TOM,53.0,18,Maths,M,179
GARY AMELIO,95.0,18,Maths,F,180
GARY CONSTANTINE,95.0,20,Maths,M,181
GARY JIMENEZ,85.0,19,Maths,M,182
GAVIN ESTUPINIAN,88.0,19,Maths,M,183
GEORGE FOURAS,88.0,19,Maths,M,184
GEORGE GARCIA,95.0,20,Maths,F,185
GEORGE GASCON,75.0,20,Maths,M,186
GEORGE LYSENKO,75.0,20,Maths,M,187
GERALD DARCY,95.0,20,Maths,M,188
GERALD MANSUR JR,91.0,20,Maths,M,189
GERARDO PINTO,82.0,18,Maths,F,190
GHODSI DAVARY,85.0,19,Maths,M,191
GLEN KOJIMOTO,91.0,18,Maths,M,192
GLENN KIRCHER,85.0,19,Maths,M,193
GLENN MAR,85.0,21,Maths,M,194
GLENN ORTIZ-SCHULDT,91.0,20,Maths,F,195
GLORIA GARCIA ORME,91.0,18,Maths,M,196
GRAD GREEN,85.0,21,Maths,M,197
GREGORY CACHARELIS,95.0,20,Maths,M,198
GREGORY CORRALES,88.0,21,Maths,M,199
GREGORY MAR,53.0,18,Maths,F,200
GREGORY MCFARLAND,66.0,18,Maths,M,201
GREGORY STANGLAND,91.0,20,Maths,M,202
GREGORY SUHR,45.0,19,Maths,M,203
GUY GOODWIN,85.0,19,Maths,M,204
HAGOP HAJIAN,82.0,18,Maths,F,205
HANS VIGIL,66.0,19,Maths,M,206
HARLAN KELLY-JR,75.0,20,Maths,M,207
HAROLD BYRD,75.0,18,Maths,M,208
HARRY PINKARD,95.0,18,Maths,M,209
HARVEY ELWIN,66.0,19,Maths,F,210
HENRY LARKIN,66.0,21,Maths,M,211
HERALIO SERRANO,88.0,19,Maths,M,212
HERBERT CARNEY,88.0,19,Maths,M,213
HERBERT HENLEY,75.0,18,Maths,M,214
IRENE SUNG,66.0,19,Maths,F,215
IVAR SATERO,88.0,19,Maths,M,216
JACK CHOW,82.0,20,Maths,M,217
JACKSON WONG,82.0,18,Maths,M,218
JALAL AINEB,45.0,19,Maths,M,219
JAMES BLAKE,95.0,18,Maths,F,220
JAMES BOSCH,66.0,19,Maths,M,221
JAMES CALONICO,85.0,21,Maths,M,222
JAMES DEIGNAN,82.0,18,Maths,M,223
JAMES DUDLEY,91.0,18,Maths,M,224
JAMES EMERY,85.0,21,Maths,F,225
JAMES FAZACKERLEY,95.0,20,Maths,M,226
JAMES FLORES,53.0,20,Maths,M,227
JAMES HARRIGAN,91.0,20,Maths,M,228
JAMES MILLER,45.0,19,Maths,M,229
JAMES SPILLANE,65.0,18,Maths,F,230
JAMES VANNUCCHI,75.0,20,Maths,M,231
JANET HINES,91.0,18,Maths,M,232
JASON PAW,53.0,20,Maths,M,233
JAY HUISH,53.0,18,Maths,M,234
JAY KLOO,53.0,18,Maths,F,235
JEFF COLUMBINI,95.0,18,Maths,M,236
JEFF IWASAKI,75.0,20,Maths,M,237
JEFFREY ADACHI,95.0,20,Maths,M,238
JEFFREY BARDEN,82.0,18,Maths,M,239
JEFFREY MYERS,53.0,18,Maths,F,240
JENNIFER DEBERRY,95.0,18,Maths,M,241
JENNIFER MATZ,75.0,20,Maths,M,242
JERRY COLEMAN,66.0,18,Maths,M,243
JESSE SMITH,91.0,20,Maths,M,244
JESUS PENA,91.0,20,Maths,F,245
JILL LECOUNT,85.0,18,Maths,M,246
JIM GIANG,75.0,20,Maths,M,247
JIM HALL III,66.0,18,Maths,M,248
JIMMIE LEW,75.0,20,Maths,M,249
JOANNE HAYES-WHITE,88.0,19,Maths,F,250
JOANNE HOEPER,88.0,18,Maths,M,251
JOHN BARKER,82.0,20,Maths,M,252
JOHN BRAGAGNOLO,65.0,18,Maths,M,253
JOHN BROWN,45.0,19,Maths,M,254
JOHN BUCHANAN JR,85.0,18,Maths,F,255
JOHN CAVANAUGH,65.0,19,Maths,M,256
JOHN CREMEN,75.0,20,Maths,M,257
JOHN EHRLICH,75.0,18,Maths,M,258
JOHN FEENEY,53.0,20,Maths,M,259
JOHN FLORES,45.0,18,Maths,F,260
JOHN GARRITY,91.0,18,Maths,M,261
JOHN GOLDBERG,95.0,18,Maths,M,262
JOHN HALEY JR,95.0,18,Maths,M,263
JOHN HANLEY,82.0,20,Maths,M,264
JOHN HART,53.0,18,Maths,F,265
JOHN HICKEY,66.0,21,Maths,M,266
JOHN KOSTA,45.0,19,Maths,M,267
JOHN LOFTUS,82.0,20,Maths,M,268
JOHN MARTIN,65.0,19,Maths,M,269
JOHN MURPHY,65.0,19,Maths,F,270
JOHN MURPHY,88.0,21,Maths,M,271
JOHN NESTOR,82.0,20,Maths,M,272
JOHN RAHAIM,95.0,18,Maths,M,273
JOHN ROCCO,53.0,20,Maths,M,274
JOHN SANFORD JR,91.0,18,Maths,F,275
JOHN STANFIELD,65.0,19,Maths,M,276
JOHN TURSI,65.0,19,Maths,M,277
JOHN VAN KOLL,91.0,18,Maths,M,278
JOHNSON YOU,66.0,18,Maths,M,279
JON WALTON,65.0,19,Maths,F,280
JONATHAN BAXTER,45.0,19,Maths,M,281
JONES WONG,91.0,20,Maths,M,282
JOSE CASTILLO,45.0,21,Maths,M,283
JOSE VELO,53.0,20,Maths,M,284
JOSEPH CUFF,75.0,18,Maths,F,285
JOSEPH DRISCOLL,53.0,18,Maths,M,286
JOSEPH FISCHER-III,95.0,18,Maths,M,287
JOSEPH FONG,95.0,18,Maths,M,288
JOSEPH MAYERS,85.0,19,Maths,M,289
JOSEPH WOODS,91.0,20,Maths,F,290
JOSEPHINE RAPADAS,66.0,19,Maths,M,291
JOSHUA BAMBERGER,95.0,20,Maths,M,292
JOSHUA KUMLI,88.0,19,Maths,M,293
JUDY MELINEK,85.0,19,Maths,M,294
JULIA M C FRIEDLANDER,66.0,18,Maths,F,295
JULIE LABONTE,95.0,20,Maths,M,296
JULIE VAN NOSTERN,91.0,18,Maths,M,297
JULIET ELLIS,95.0,20,Maths,M,298
JULIO ESCOBAR,85.0,18,Maths,M,299
JUNE CRAVET,91.0,18,Maths,F,300
KANDACE BENDER,64.0,19,Maths,M,301
KAREN ROYE,53.0,18,Maths,M,302
KARL JURGENSON,85.0,19,Maths,M,303
KATE HERRMAN STACY,66.0,21,Maths,M,304
KATHLEEN MAXWELL,53.0,20,Maths,F,305
KATHRYN BALLOU,82.0,20,Maths,M,306
KATHRYN FOWLER,75.0,18,Maths,M,307
KATHRYN HOW,75.0,18,Maths,M,308
KEITH SANFORD,64.0,19,Maths,M,309
KEN YEE,88.0,19,Maths,F,310
KENNETH CORDERO,91.0,20,Maths,M,311
KENNETH SMITH,75.0,18,Maths,M,312
KEVIN BARRY,66.0,21,Maths,M,313
KEVIN BURKE,82.0,18,Maths,M,314
KEVIN CASHMAN,45.0,21,Maths,F,315
KEVIN JONES,66.0,19,Maths,M,316
KEVIN KUHN,66.0,19,Maths,M,317
KEVIN LABANOWSKI,91.0,20,Maths,M,318
KEVIN SMITH,66.0,19,Maths,M,319
KEVIN TAYLOR,75.0,18,Maths,F,320
KHAIRUL ALI,91.0,20,Maths,M,321
KHOA TRINH,45.0,18,Maths,M,322
KIMIKO BURTON,75.0,18,Maths,M,323
KIRK RICHARDSON,75.0,20,Maths,M,324
KIRSTEN BARASH,65.0,21,Maths,F,325
L MILITELLO,66.0,19,Maths,M,326
LAN LEE,85.0,19,Maths,M,327
LARRY MITCHELL,65.0,21,Maths,M,328
LAUIFI SEUMAALA,95.0,20,Maths,M,329
LAURENCE RAMLAN,95.0,18,Maths,F,330
LAWRENCE FREED,95.0,18,Maths,M,331
LAWRENCE LEE,53.0,20,Maths,M,332
LAWRENCE NICHOLLS,66.0,19,Maths,M,333
LENETTE THOMPSON,66.0,18,Maths,M,334
LENORA JACOBS,53.0,20,Maths,F,335
LEON KUO,95.0,20,Maths,M,336
LEON WHITE,91.0,20,Maths,M,337
LEONARD BROBERG,65.0,19,Maths,M,338
LEONARDO FERMIN,88.0,18,Maths,M,339
LESLIE DUBBIN,88.0,21,Maths,F,340
LINDA ROSS,65.0,19,Maths,M,341
LISA GOLDEN,66.0,19,Maths,M,342
LISA HOFFMANN,66.0,21,Maths,M,343
LISETTE ADAMS,45.0,18,Maths,M,344
LORI BORGHI,88.0,21,Maths,F,345
LORRIE KALOS,95.0,20,Maths,M,346
LOUIS CASSANEGO,66.0,19,Maths,M,347
LUIS HERRERA,91.0,18,Maths,M,348
LUIS IBARRA-RIVERA,85.0,19,Maths,M,349
LYN TOMIOKA,65.0,19,Maths,F,350
MADONNA VALENCIA,75.0,18,Maths,M,351
MAGALY SAADE,31.0,18,Maths,M,352
MAMI SUZUKI-VIDALON,65.0,18,Maths,M,353
MANUEL PEGUEROS,95.0,18,Maths,M,354
MARGARET CALLAHAN,82.0,20,Maths,F,355
MARGARET HANNAFORD,82.0,18,Maths,M,356
MARGARET RYKOWSKI,65.0,18,Maths,M,357
MARIA BEE,88.0,21,Maths,M,358
MARISA MORET,75.0,18,Maths,M,359
MARK CASTAGNOLA,45.0,21,Maths,F,360
MARK GAMBLE,45.0,18,Maths,M,361
MARK GONZALES,75.0,20,Maths,M,362
MARK HERNANDEZ,88.0,19,Maths,M,363
MARK JOHNSON,85.0,19,Maths,M,364
MARK KEARNEY,66.0,19,Maths,F,365
MARK SENORES,66.0,18,Maths,M,366
MARK SMITH,75.0,20,Maths,M,367
MARK SOLOMON,75.0,20,Maths,M,368
MARTIEN VERHAEG,45.0,19,Maths,M,369
MARTIN BELTRAN,91.0,20,Maths,F,370
MARTIN GRAN,91.0,18,Maths,M,371
MARTIN HALLORAN,82.0,18,Maths,M,372
MARTIN LALOR JR,75.0,20,Maths,M,373
MARTY ROSS,91.0,20,Maths,M,374
MARY TSE,88.0,19,Maths,F,375
MASAE KAWAMURA,88.0,21,Maths,M,376
MATTHEW CANNON,66.0,19,Maths,M,377
MATTHEW MCNAUGHTON,95.0,18,Maths,M,378
MATTHEW ROTHSCHILD,45.0,18,Maths,M,379
MELANY BRANDON,53.0,20,Maths,F,380
MELISSA LERMA,91.0,20,Maths,M,381
MERCEDES GERMAN,75.0,18,Maths,M,382
MICHAEL AHERN,66.0,21,Maths,M,383
MICHAEL BELLO,66.0,19,Maths,M,384
MICHAEL BIEL,91.0,20,Maths,F,385
MICHAEL BROWNE,85.0,18,Maths,M,386
MICHAEL BRYANT,82.0,20,Maths,M,387
MICHAEL CARLIN,66.0,19,Maths,M,388
MICHAEL CASTAGNOLA,75.0,18,Maths,M,389
MICHAEL COLEMAN,91.0,18,Maths,F,390
MICHAEL CONNOLLY,45.0,19,Maths,M,391
MICHAEL DALY,,20,Maths,M,392
MICHAEL DELANE,91.0,20,Maths,M,393
MICHAEL DRENNAN,75.0,18,Maths,M,394
MICHAEL DUDOROFF,82.0,20,Maths,F,395
MICHAEL ELLIS,95.0,20,Maths,M,396
MICHAEL GONZALES,88.0,19,Maths,M,397
MICHAEL HENNESSEY,65.0,19,Maths,M,398
MICHAEL KEARNEY,85.0,21,Maths,M,399
MICHAEL MORRIS,91.0,18,Maths,F,400
MICHAEL MOYNIHAN,91.0,20,Maths,M,401
MICHAEL PHILPOTT,53.0,20,Maths,M,402
MICHAEL QUAN,95.0,20,Maths,M,403
MICHAEL ROLOVICH,95.0,18,Maths,M,404
MICHAEL SIMMONS,53.0,18,Maths,F,405
MICHAEL SMITH,45.0,19,Maths,M,406
MICHAEL THOMPSON,75.0,18,Maths,M,407
MICHAEL THOMPSON,65.0,18,Maths,M,408
MICHAEL WALSH,45.0,19,Maths,M,409
MICHAEL WHOOLEY,82.0,18,Maths,F,410
MIKAIL ALI,82.0,18,Maths,M,411
MIKE BREILING,66.0,19,Maths,M,412
MILTON ESTES,65.0,21,Maths,M,413
MIRIAM DAMON,66.0,19,Maths,M,414
MITCHELL LEE,95.0,18,Maths,F,415
MIVIC HIROSE,45.0,21,Maths,M,416
MOHAMMED NURU,65.0,19,Maths,M,417
MONICA FIELDS,88.0,19,Maths,M,418
MONIQUE MOYER,65.0,19,Maths,M,419
MONIQUE ZMUDA,85.0,18,Maths,F,420
MORGAN PETITI,75.0,18,Maths,M,421
MYO CHANG,82.0,20,Maths,M,422
NANCY LEW,82.0,20,Maths,M,423
NANCY PARKER,66.0,21,Maths,M,424
NATHAN HARDY,85.0,19,Maths,F,425
NATHANIEL FORD,75.0,18,Maths,M,426
NEIL SWENDSEN,91.0,20,Maths,M,427
NELA PONFERRADA,65.0,19,Maths,M,428
NELSON ACETO,82.0,20,Maths,M,429
NEREE DASTOUS,45.0,18,Maths,F,430
NICHOLAS COLANGELO,95.0,20,Maths,M,431
NICOL JURATOVAC,88.0,18,Maths,M,432
NICOLETTE DIVECCHIO,53.0,18,Maths,M,433
NIKOLAS LEMOS,82.0,18,Maths,M,434
NOEL MORONEY,66.0,19,Maths,F,435
NOREEN AMBROSE,91.0,20,Maths,M,436
OLLIE BANKS,45.0,18,Maths,M,437
OSCAR CABRERA,53.0,18,Maths,M,438
OWEN CLEMENTS,85.0,19,Maths,M,439
PABLO SIGUENZA,91.0,18,Maths,F,440
PATRIC STEELE,53.0,18,Maths,M,441
PATRICIA CARR,88.0,19,Maths,M,442
PATRICIA JACKSON,85.0,18,Maths,M,443
PATRICIA O'CONNER,45.0,19,Maths,M,444
PATRICK GARDNER,53.0,18,Maths,F,445
PATRICK MULLANEY,75.0,20,Maths,M,446
PAUL CHIGNELL,85.0,19,Maths,M,447
PAUL HENDERSON,66.0,19,Maths,M,448
PAUL LEE,82.0,20,Maths,M,449
PAUL URQUIAGA,85.0,19,Maths,F,450
PAULINE MARX,82.0,20,Maths,M,451
PERRY LEONG,82.0,18,Maths,M,452
PETE FAY JR,95.0,18,Maths,M,453
PETER THOSHINSKY,85.0,19,Maths,M,454
PHILIP GINSBURG,75.0,20,Maths,F,455
PHILIP PERA,91.0,20,Maths,M,456
PHILIP STEVENS,95.0,18,Maths,M,457
PIERRE FRANCOIS,95.0,20,Maths,M,458
PIERRE MARTINEZ,53.0,18,Maths,M,459
RAEMONA WILLIAMS,85.0,18,Maths,F,460
RAJIV BHATIA,95.0,20,Maths,M,461
RANDY LY,65.0,19,Maths,M,462
RANDY MANNING,91.0,20,Maths,M,463
RASMI CHAN,75.0,20,Maths,M,464
RAUL FRANCISCO,45.0,21,Maths,F,465
RAY CRAWFORD,53.0,20,Maths,M,466
RAYMOND CHAVEZ,88.0,21,Maths,M,467
RAYMOND GUZMAN,66.0,18,Maths,M,468
RAYMOND KOENIG,53.0,18,Maths,M,469
REGINA GOMEZ,82.0,18,Maths,F,470
RENEE MARQUARDT,82.0,18,Maths,M,471
REX HALE,53.0,20,Maths,M,472
RICHARD BUSALACCHI,85.0,21,Maths,M,473
RICHARD CORRIEA,45.0,21,Maths,M,474
RICHARD CURRIE,91.0,20,Maths,F,475
RICHARD ELLIOTT,82.0,20,Maths,M,476
RICHARD PARRY,45.0,19,Maths,M,477
RICHARD UNTALAN,75.0,18,Maths,M,478
RICHARD VAN KOLL,95.0,18,Maths,M,479
RICHARD ZERCHER,88.0,21,Maths,F,480
RICKY HUI,88.0,19,Maths,M,481
ROBERT BONNET,85.0,18,Maths,M,482
ROBERT BRYAN,82.0,20,Maths,M,483
ROBERT CHIN,66.0,19,Maths,M,484
ROBERT COLEMAN,88.0,18,Maths,F,485
ROBERT GALLOT,91.0,20,Maths,M,486
ROBERT GUILLERMO,95.0,20,Maths,M,487
ROBERT KAPROSCH,75.0,18,Maths,M,488
ROBERT LOPEZ,75.0,18,Maths,M,489
ROBERT MAERZ,53.0,20,Maths,F,490
ROBERT MUHAMMAD,88.0,18,Maths,M,491
ROBERT POSTEL,82.0,20,Maths,M,492
ROBERT SERRANO,88.0,19,Maths,M,493
ROBERT SHAW,91.0,20,Maths,M,494
ROBERT STYLES,75.0,18,Maths,F,495
ROBERT TAI,75.0,18,Maths,M,496
ROBERT VELARDE,91.0,18,Maths,M,497
ROBERT WINSLOW,85.0,19,Maths,M,498
ROLAND PICKENS,88.0,18,Maths,M,499
RONALD PRUYN,53.0,18,Maths,F,500
ROSE QUINONES,53.0,20,Maths,M,501
ROSELYN JEQUINTO,65.0,18,Maths,M,502
ROSEMARY LEE,91.0,18,Maths,M,503
ROWENA PATEL,91.0,18,Maths,M,504
RUBY MARTIN,45.0,19,Maths,F,505
RUDOLPH ERLER,66.0,21,Maths,M,506
RUDY CASTELLANOS,66.0,21,Maths,M,507
RYAN CREAN,53.0,18,Maths,M,508
RYAN KENNEDY,65.0,19,Maths,M,509
SAHIR PUTRUS,53.0,18,Maths,F,510
SAM YUEN,91.0,18,Maths,M,511
SAMSON LAI,82.0,20,Maths,M,512
SAMUEL NIETO,45.0,19,Maths,M,513
SAMUEL ROMERO,65.0,19,Maths,M,514
SANDRA HUANG,65.0,18,Maths,F,515
SANDRA TONG,53.0,18,Maths,M,516
SARAH CARY,82.0,18,Maths,M,517
SCOTT SCHOLZEN,88.0,19,Maths,M,518
SEAN BONETTI,95.0,20,Maths,M,519
SEBASTIAN WONG,64.0,19,Maths,F,520
SHANNON SAKOWSKI,82.0,20,Maths,M,521
SHARON FERRIGNO,45.0,19,Maths,M,522
SHARON MCCOLE WICHER,53.0,18,Maths,M,523
SHARON WOO,45.0,21,Maths,M,524
SHELLEY MITCHELL,85.0,19,Maths,F,525
SIU-KWAN CHOW,91.0,18,Maths,M,526
SOFIA MATHEWS,75.0,20,Maths,M,527
SONALI BOSE,88.0,18,Maths,M,528
STEPHEN TACCHINI,45.0,19,Maths,M,529
STEPHEN TITTEL,88.0,19,Maths,F,530
STEVEN MANNINA,45.0,18,Maths,M,531
STEVEN RITCHIE,65.0,21,Maths,M,532
STEVEN WILLIAMS,45.0,21,Maths,M,533
STEVEN WOZNIAK,88.0,21,Maths,M,534
SURINDERJEET BAJWA,95.0,20,Maths,F,535
SUSAN BUCHBINDER,95.0,20,Maths,M,536
SUSAN CURRIN,82.0,18,Maths,M,537
SUSAN FERNYAK,65.0,19,Maths,M,538
SUSAN GARRETT,91.0,18,Maths,M,539
SUSAN ILNICKI,65.0,18,Maths,F,540
TANGERINE BRIGHAM,66.0,21,Maths,M,541
TED YAMASAKI,95.0,18,Maths,M,542
TERENCE OSULLIVAN,82.0,18,Maths,M,543
TERESA BARRETT,75.0,20,Maths,M,544
THERESA DENTONI,82.0,20,Maths,F,545
THERESA LEE,85.0,19,Maths,M,546
THERESA MUELLER,65.0,19,Maths,M,547
THERESE STEWART,88.0,18,Maths,M,548
THOMAS ABBOTT,85.0,19,Maths,M,549
THOMAS ALDANA,82.0,20,Maths,F,550
THOMAS BIBER,82.0,18,Maths,M,551
THOMAS BUSBY,91.0,18,Maths,M,552
THOMAS CLEARY,85.0,19,Maths,M,553
THOMAS CUNNANE,65.0,21,Maths,M,554
